Title,Company Name,Location,Salary,Required Skills,Job Type,Job Description,Job Link
Software Quality Assurance Engineer,Modisoft,"Karachi ,
Pakistan, Pakistan","PKR. 100,000 - 100,000/Month",Performance Testing,,"Modisoft is seeking a dedicated Software Quality Assurance Engineer to join our dynamic team. The ideal candidate will have at least two years of experience in software testing methodologies, encompassing both manual and automated testing approaches. This role is critical for ensuring that our software products meet the highest standards of quality and performance. The selected individual will be responsible for developing comprehensive test plans and test cases, along with performing rigorous testing of backend services such as APIs and distributed systems. The candidate will also contribute to the construction of test environments utilizing Continuous Integration and Continuous Deployment (CICD) practices. This position provides an exciting opportunity to work in an Agile/Scrum development process, collaborating with cross-functional teams to deliver quality software solutions. Notably, this role does not involve managing a team but requires strong self-management skills and a proactive work approach.",https://www.rozee.pk/modisoft-software-quality-assurance-engineer-karachi-jobs-1574628?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1574628&utm_campaign=ROZEE.PK_job_search
Software Quality Assurance Engineer,Modisoft,"Karachi ,
Pakistan, Pakistan","PKR. 100,000 - 100,000/Month",Performance Testing,,"Modisoft is seeking a dedicated Software Quality Assurance Engineer to join our dynamic team. The ideal candidate will have at least two years of experience in software testing methodologies, encompassing both manual and automated testing approaches. This role is critical for ensuring that our software products meet the highest standards of quality and performance. The selected individual will be responsible for developing comprehensive test plans and test cases, along with performing rigorous testing of backend services such as APIs and distributed systems. The candidate will also contribute to the construction of test environments utilizing Continuous Integration and Continuous Deployment (CICD) practices. This position provides an exciting opportunity to work in an Agile/Scrum development process, collaborating with cross-functional teams to deliver quality software solutions. Notably, this role does not involve managing a team but requires strong self-management skills and a proactive work approach.",https://www.rozee.pk/modisoft-pvt-ltd-software-quality-assurance-engineer-karachi-jobs-1575480?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1575480&utm_campaign=ROZEE.PK_job_search
Full Stack Software Engineer,SZABIST - Islamabad Campus,"Islamabad ,
Pakistan, Pakistan","PKR. 70,000 - 100,000/Month","MS SQL
 C
 #MVC
 ASP.net",,We are looking for a skilled & proactive “Full Stack Software Engineer”. ,https://www.rozee.pk/szabist-islamabad-campus-full-stack-software-engineer-islamabad-jobs-1573446?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1573446&utm_campaign=ROZEE.PK_job_search
Software Quality Assurance Engineer,Modisoft Private Limited,"Karachi ,
Pakistan, Pakistan","PKR. 100,000 - 100,000/Month","Load Testing
 Regression Testing
 Python
 Performance Testing",,"Modisoft Private Limited is seeking a detail-oriented and motivated Software Quality Assurance Engineer with a minimum of 2 years of experience in software testing methodologies, both manual and automated. This role is critical in ensuring the delivery of high-quality software products by performing thorough testing of backend services such as APIs and distributed systems. The successful candidate will possess strong analytical and troubleshooting skills, along with proficiency in tools and programming languages relevant to testing. The ideal candidate will contribute to the development and implementation of clear and comprehensive test plans and test cases, thereby enhancing the overall quality and performance of our software solutions. As a QA Engineer, you will be an integral part of the Agile/Scrum development process, collaborating closely with developers and product managers to identify testing needs and continuous improvement areas. You will have the opportunity to utilize your skills in performance testing and load testing while ensuring that automated testing tools are effectively integrated into our CI/CD pipelines. This role requires a proactive work style, strong interpersonal skills, and a commitment to excellence in software quality assurance. Although this position does not involve managing a team, you will work independently and collaboratively to uphold our company standards in software development.",https://www.rozee.pk/modisoft-private-limited-software-quality-assurance-engineer-karachi-jobs-1574372?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1574372&utm_campaign=ROZEE.PK_job_search
Software Quality Assurance Engineer,Zam Software Solutions,"Islamabad ,
Pakistan, Pakistan",Not Available,"Software Quality Management
 Software Life Cycle Testing
 Software Quality Review
 Automated Software Command",," The ideal candidate will be an expert in Automation and Manual Testing SQA Engineer responsible for testing the software projects and/or final product. SQA understands the development workflows, frameworks, and methodologies. Designing and implementing tests, debugging, and defining corrective actions. Review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts).",https://www.rozee.pk/zam-software-solutions-software-quality-assurance-engineer-islamabad-jobs-1560374?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560374&utm_campaign=ROZEE.PK_job_search
Senior Frontend Software Engineer,Rayymen Technologies Private Limited,"Multiple Cities,
Pakistan, Pakistan",Not Available,"React JS
 Frontend Development
 JavaScript
 Git
 HTML
 CSS3
 Next JS
 Frontend Coding",,We are seeking a Senior Frontend Software Engineer with strong expertise in Next.js.,https://www.rozee.pk/rayymen-technologies-private-limited-senior-frontend-software-engineer-islamabad-faisalabad-gujranwala-lahore-rawalpindi-gujrat-jobs-1563312?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1563312&utm_campaign=ROZEE.PK_job_search
Software Quality Assurance Engineer,E2E Worx,"Lahore ,
Pakistan, Pakistan",Not Available,"Software Quality Checking
 Software Quality Assurance
 Software Quality
 Quality Improvement
 Software Quality Review",,"The role involves daily tasks such as Manual Testing, Software Development, and ensuring Software Quality Assurance standards are met. The Engineer will be responsible for performing various types of testing including Black-box testing (Functional, GUI, Data-Driven, Navigational, and Validation) using the latest QA/QC Tools.",https://www.rozee.pk/e2e-worx-software-quality-assurance-engineer-lahore-jobs-1566938?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1566938&utm_campaign=ROZEE.PK_job_search
Software Quality Assurance Engineer,Musketeers Tech,"Lahore ,
Pakistan, Pakistan",Not Available,"Test Automation
 Selenium
 Jira Configuration
 Quality Assurance
 Manual Testing
 Regression Testing
 Performance Testing
 Selenium WebDriver
 Automated Testing
 JMeter",,"Musketeers Tech is seeking a detail-oriented Software Quality Assurance Engineer to enhance the quality of our innovative mobile applications. This position plays a critical role in our software development lifecycle by ensuring that our applications meet the highest standards of performance, functionality, and reliability. The ideal candidate has a solid foundation in both manual and automated testing processes, demonstrating proficiency in tools and methodologies necessary to validate product quality. As a key contributor, you will collaborate closely with development teams to identify defects, conduct regression testing, and ensure compliance with industry standards and store requirements for mobile applications.",https://www.rozee.pk/musketeers-tech-software-quality-assurance-engineer-lahore-jobs-1572278?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572278&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Software Quality Assurance Engineer,Broadstone Technologies,"Lahore ,
Pakistan, Pakistan",Not Available,"Software Quality Review
 Agile Programming
 Software Life Cycle Testing
 Communication Skills
 Cross Browser Compatibility
 White Box Testing",,"We are looking for a self- motivated person for the position of Software Quality Assurance Engineer. If you are a self-starter who is ready to explore new opportunities, we would like to talk to you. Develop your automation skills while working on exciting projects in cybersecurity, fintech, and AR. Learn from experts, collaborate with talented developers, and build a rewarding career.  ",https://www.rozee.pk/broadstone-technologies-software-quality-assurance-engineer-lahore-jobs-1566690?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1566690&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
QA Automation Engineer,Computer House,"Lahore ,
Pakistan, Pakistan","PKR. 125,000 - 150,000/Month","Software Quality Review
 Software Quality Management
 Software Life Cycle Testing",,"We are seeking a passionate and detail-oriented QA Automation Engineer to join our growing team. The ideal candidate will have experience with automation tools and frameworks, a solid understanding of software testing principles, and a strong desire to contribute to high-quality software releases. You will work closely with cross-functional teams to develop, maintain, and execute automated test scripts for web and mobile applications.",https://www.rozee.pk/computer-house-qa-automation-engineer-lahore-jobs-1568846?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1568846&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Electrical Engineer,Digilog Software,"Lahore ,
Pakistan, Pakistan","PKR. 35,000 - 50,000/Month","Electric Circuit
 Circuit Design Knowledge
 Soldering Iron",,There are immediate positions available for hardworking and self-motivated to join our team and serve with us.,https://www.rozee.pk/digilog-software-electrical-engineer-lahore-jobs-1569298?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1569298&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Civil Engineer,Manpoy UK,"Lahore ,
Pakistan, Pakistan","PKR. 50,000 - 70,000/Month","Staad Pro
 TEKLA
 AutoCAD Design Software",,"We are seeking a highly motivated and experienced Civil Engineer to join our dynamic team in Lahore. The successful candidate will be responsible for the design, analysis, and evaluation of various civil engineering projects, ensuring the safety, functionality, and efficiency of structures.",https://www.rozee.pk/manpoy-uk-civil-engineer-lahore-jobs-1575528?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1575528&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Network Support Engineer,Computan,"Lahore ,
Pakistan, Pakistan","PKR. 40,000 - 50,000/Month","Networking Protocol
 Network Security Administration
 Software Documentation Maintenance",,"We are seeking a skilled Network Support Engineer to maintain, troubleshoot, and enhance our company's IT network infrastructure. The ideal candidate will have hands-on experience in network administration, troubleshooting connectivity issues, and ensuring network security. This role requires excellent problem-solving skills, strong technical expertise, and the ability to provide top-tier support to internal teams and external clients.",https://www.rozee.pk/computan-network-support-engineer-lahore-jobs-1576328?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1576328&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
SCADA Engineer / Electrical Engineer,WaterQo Pvt Ltd,"Lahore ,
Pakistan, Pakistan",Not Available,"Computer Proficient
 Software Quality Review
 Compliance Analysis
 Complaint Management
 Team Management",,We are seeking a talented and motivated Electrical Engineer for SCADA and Solar Design. The successful candidate will be responsible for designing and optimizing solar photovoltaic (PV) systems for commercial and residential projectsand. This role offers an exciting opportunity to contribute to the advancement of renewable energy technology and make a positive impact on our planet.,https://www.rozee.pk/waterqo-pvt-ltd-scada-engineer-electrical-engineer-lahore-jobs-1576296?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1576296&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Field Engineer,Muslim Aid,"Chitral ,
Pakistan, Pakistan","PKR. 100,000 - 125,000/Month","Liaising Skills
 Project Management
 Interpersonal Skills
 Communication Skills
 Advance Software",,Key Accountabilities:,https://www.rozee.pk/muslim-aid-field-engineer-chitral-jobs-1572964?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572964&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Mechanical Engineer,Nateeq Enterprise,"Lahore ,
Pakistan, Pakistan","PKR. 40,000 - 80,000/Month","MEP Engineering
 AutoCAD Design Software
 Communication Skills",,"We are seeking a skilled Mechanical Engineer Diploma holder with experience in AutoCAD drafting for MEP (Mechanical, Electrical, and Plumbing) systems to join our team. The ideal candidate will have a strong foundation in mechanical drafting and a keen interest in advancing their expertise in energy modeling using eQUEST. This role offers an opportunity to gain hands-on training and professional development in energy modeling tools.",https://www.rozee.pk/nateeq-enterprise-mechanical-engineer-lahore-jobs-1571000?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1571000&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Design Engineer,FSK & Partners,"Multiple Cities,
Pakistan, Pakistan","PKR. 80,000 - 125,000/Month","Revit
 BIM
 Navisworks
 AutoCAD Design Software",,"We are looking for an ELV (Extra Low Voltage) Design Engineer to design, draft, and model low-voltage systems such as ICT, AV & Security Systems.",https://www.rozee.pk/fsk-partners-design-engineer-islamabad-hyderabad-karachi-lahore-jobs-1572520?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572520&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Mechanical Engineer,Lockersmiths (Pvt) Ltd,"Gujranwala ,
Pakistan, Pakistan","PKR. 40,000 - 60,000/Month","Team Building
 MS Excel
 Production Coordination
 3D Modeling
 CAD Software and Design Tools
 Sheet Metal Analysis",,"We are seeking a skilled and motivated Mechanical Engineer to join our engineering team. The ideal candidate will be responsible for designing, analyzing, and testing mechanical systems and components, ensuring their functionality, efficiency, and durability. The Mechanical Engineer will collaborate with cross-functional teams to innovate, develop, and improve mechanical products and systems.",https://www.rozee.pk/lockersmiths-pvt-ltd-mechanical-engineer-gujranwala-jobs-1573590?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1573590&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
IT Support Engineer,MMBA Chartered Certified Accountants,"Islamabad ,
Pakistan, Pakistan","PKR. 100,000 - 150,000/Month","Microsoft Online
 IT Infrastructure Management
 IT Infrastructure Operations
 Microsoft Office
 IP Networking 
 IT Support
 Configuring Software
 IT Hardware Support
 Microsoft Outlook
 Communication Skills
 Microsoft Azure
 Software Quality Review",,"We are seeking a skilled and motivated Mechanical Engineer to join our engineering team. The ideal candidate will be responsible for designing, analyzing, and testing mechanical systems and components, ensuring their functionality, efficiency, and durability. The Mechanical Engineer will collaborate with cross-functional teams to innovate, develop, and improve mechanical products and systems.",https://www.rozee.pk/mmba-chartered-certified-accountants-it-support-engineer-islamabad-jobs-1572354?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572354&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Senior Automated Quality Assurance Engineer,Rayymen Technologies Private Limited,"Multiple Cities,
Pakistan, Pakistan","PKR. 80,000 - 200,000/Month","Software Quality Assurance
 Unit Testing
 Selenium Testing",,"We are looking for a Senior Automated Quality Assurance Engineer who has hands-on experience in Selenium testing, Unit testing, and User Acceptance to assess software quality through manual and automated testing. In this role, you will be suggesting ideas for automated software test procedures. Besides, you will be highlighting problem areas and tracking bugs that hinder software installation.As a QA Automation Engineer, you will be liaising with the Developers and Project Managers to identify and test key features of software programs. Apart from testing, you should be able to develop well-planned and structured test plans/cases.If you are also competent in executing test cases and are passionate about quality, we’d like to meet you.Ultimately, you will ensure that our products, applications and systems work correctly.",https://www.rozee.pk/rayymen-technologies-private-limited-senior-automated-quality-assurance-engineer-islamabad-faisalabad-lahore-rawalpindi-jobs-1563290?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1563290&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Estimation Engineer,Alzayed Shades And Tents LLC,"Lahore ,
Pakistan, Pakistan","PKR. 45,000 - 50,000/Month","Microsoft Project
 Primavera
 AutoCAD Design Software",,We are seeking a detail-oriented Estimation Engineer to join our team and support our projects by delivering accurate cost estimates and proposals.,https://www.rozee.pk/alzayed-shades-and-tents-llc-estimation-engineer-lahore-jobs-1568034?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1568034&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
Sales Engineer,Creative Electronics & Automation,"Islamabad ,
Pakistan, Pakistan","PKR. 40,000 - 50,000/Month","Electrical Controls Knowledge
 iOT
 Relationship Building Skills
 Electrical Controls
 PLC Network
 Automotive Electronics Knowledge
 Custom Software Development
 Customer Interaction Management
 Customer Service Solutions
 Formal Quotations Preparation
 Sales Acquisition Skills
 Sales Automation",,We are seeking a highly motivated and result -oriented Sales Engineer to drive sales of our engineering and automation products portfolio. ,https://www.rozee.pk/creative-electronics-automation-sales-engineer-islamabad-jobs-1573156?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1573156&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
ASP.NET Developer / Software Engineer,Evolved Tax,"Multiple Cities,
Pakistan, Pakistan",Not Available,"Microsoft SQL Server
 ASP.net
 C
 #Front-End Coding
 Frontend Designs
 VB.Net",,"You will be responsible for creating interactive portals, web services, and business applications using the Asp. Net platform (Framework, Core and MVC). (S)He prepares and optimizes various systems utilizing new technologies, develops program organization, and works together with programmers and designers for the enhancement of scripting languages. The role is also accountable for developing .Net frameworks based on standards of the company.",https://www.rozee.pk/evolved-tax-aspnet-developer-software-engineer-islamabad-rawalpindi-jobs-1571118?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1571118&utm_campaign=ROZEE.PK_job_search&utm_term=undefined
